"","from_id","to_id","travel_time_p50"
"1","42017100206","CityHall",121
"2","42029300800","CityHall",174
"3","42091205700","CityHall",118
"4","42091203601","CityHall",95
"5","42091202602","CityHall",116
"6","42091201100","CityHall",148
"7","42091204101","CityHall",90
"8","42045402900","CityHall",123
"9","42045403104","CityHall",91
"10","42045400700","CityHall",76
"11","42101001500","CityHall",33
"12","42101001800","CityHall",37
"13","42101002802","CityHall",29
"14","42101004001","CityHall",25
"15","42101006300","CityHall",44
"16","42101007700","CityHall",24
"17","42101008701","CityHall",39
"18","42101011000","CityHall",36
"19","42101011500","CityHall",55
"20","42101014000","CityHall",34
"21","42101016500","CityHall",36
"22","42101017202","CityHall",49
"23","42101019502","CityHall",53
"24","42101021400","CityHall",74
"25","42101024200","CityHall",46
"26","42101025500","CityHall",67
"27","42101027402","CityHall",60
"28","42101028600","CityHall",60
"29","42101030501","CityHall",60
"30","42101033500","CityHall",77
"31","42101034000","CityHall",81
"32","42101034900","CityHall",113
"33","42101035900","CityHall",118
"34","42101012201","CityHall",73
"35","42101000401","CityHall",13
"36","42101016200","CityHall",39
"37","42101012502","CityHall",33
"38","42101013701","CityHall",64
"39","42091203701","CityHall",150
"40","42045980100","CityHall",90
"41","42029980000","CityHall",126
"42","42029302806","CityHall",101
"43","42045406401","CityHall",132
"44","42017100807","CityHall",131
"45","42029301100","CityHall",174
"46","42029300700","CityHall",174
"47","42091205906","CityHall",90
"48","42091203801","CityHall",150
"49","42091204300","CityHall",69
"50","42091205502","CityHall",96
"51","42091205501","CityHall",94
"52","42091201704","CityHall",172
"53","42091206104","CityHall",174
"54","42091203901","CityHall",90
"55","42091203804","CityHall",150
"56","42045400302","CityHall",63
"57","42045403800","CityHall",103
"58","42045400301","CityHall",49
"59","42045409000","CityHall",96
"60","42045403200","CityHall",84
"61","42045409200","CityHall",96
"62","42045408900","CityHall",60
"63","42045400801","CityHall",77
"64","42045401700","CityHall",64
"65","42045404900","CityHall",103
"66","42101030900","CityHall",60
"67","42101031502","CityHall",77
"68","42101032000","CityHall",69
"69","42101032900","CityHall",95
"70","42101033702","CityHall",83
"71","42101036501","CityHall",95
"72","42101001201","CityHall",41
"73","42101002100","CityHall",34
"74","42101002801","CityHall",29
"75","42101003701","CityHall",37
"76","42101035301","CityHall",95
"77","42101006400","CityHall",58
"78","42101006700","CityHall",42
"79","42101007300","CityHall",50
"80","42101008200","CityHall",47
"81","42101008602","CityHall",39
"82","42101009600","CityHall",51
"83","42101013500","CityHall",33
"84","42101014700","CityHall",31
"85","42101037700","CityHall",38
"86","42101016901","CityHall",48
"87","42101019501","CityHall",48
"88","42101020400","CityHall",43
"89","42101021300","CityHall",44
"90","42101038700","CityHall",113
"91","42101023900","CityHall",67
"92","42101024800","CityHall",48
"93","42101025700","CityHall",93
"94","42101026302","CityHall",62
"95","42101026700","CityHall",60
"96","42101027600","CityHall",47
"97","42101028100","CityHall",49
"98","42101029800","CityHall",68
"99","42091203204","CityHall",120
"100","42091202401","CityHall",88
"101","42101000803","CityHall",22
"102","42101980800","CityHall",88
"103","42101010600","CityHall",37
"104","42101014500","CityHall",31
"105","42101028500","CityHall",53
"106","42101013601","CityHall",38
"107","42045400900","CityHall",72
"108","42101016002","CityHall",44
"109","42101036901","CityHall",38
"110","42101013702","CityHall",34
"111","42101000101","CityHall",24
"112","42101000404","CityHall",14
"113","42101000805","CityHall",23
"114","42091201706","CityHall",88
"115","42091206202","CityHall",174
"116","42017100803","CityHall",179
"117","42017101605","CityHall",144
"118","42029300303","CityHall",116
"119","42091205401","CityHall",81
"120","42045401503","CityHall",84
"121","42101014800","CityHall",37
"122","42101011300","CityHall",42
"123","42101013401","CityHall",36
"124","42101016702","CityHall",42
"125","42101021200","CityHall",69
"126","42101025900","CityHall",74
"127","42101028800","CityHall",53
"128","42101031800","CityHall",68
"129","42045403101","CityHall",84
"130","42045405400","CityHall",123
"131","42045407700","CityHall",144
"132","42101003100","CityHall",34
"133","42101007200","CityHall",53
"134","42101025600","CityHall",88
"135","42101027000","CityHall",70
"136","42101027700","CityHall",61
"137","42101030100","CityHall",58
"138","42101037300","CityHall",60
"139","42101024100","CityHall",44
"140","42045404400","CityHall",96
"141","42045402000","CityHall",76
"142","42101000300","CityHall",23
"143","42101009802","CityHall",56
"144","42101016300","CityHall",50
"145","42029304101","CityHall",161
"146","42091201705","CityHall",88
"147","42017101401","CityHall",95
"148","42091204103","CityHall",92
"149","42101000102","CityHall",39
"150","42101038301","CityHall",66
"151","42101001203","CityHall",34
