"","from_id","to_id","travel_time_p50"
"1","42017100206","CityHall",145
"2","42029300800","CityHall",153
"3","42091205700","CityHall",105
"4","42091203601","CityHall",90
"5","42091202602","CityHall",106
"6","42091201100","CityHall",150
"7","42091204101","CityHall",108
"8","42045402900","CityHall",125
"9","42045403104","CityHall",91
"10","42045400700","CityHall",75
"11","42101001500","CityHall",29
"12","42101001800","CityHall",38
"13","42101002802","CityHall",24
"14","42101004001","CityHall",23
"15","42101006300","CityHall",48
"16","42101007700","CityHall",25
"17","42101008701","CityHall",40
"18","42101011000","CityHall",39
"19","42101011500","CityHall",56
"20","42101014000","CityHall",30
"21","42101016500","CityHall",39
"22","42101017202","CityHall",46
"23","42101019502","CityHall",47
"24","42101021400","CityHall",71
"25","42101024200","CityHall",46
"26","42101025500","CityHall",57
"27","42101027402","CityHall",55
"28","42101028600","CityHall",58
"29","42101030501","CityHall",53
"30","42101033500","CityHall",75
"31","42101034000","CityHall",71
"32","42101034900","CityHall",92
"33","42101035900","CityHall",119
"34","42101012201","CityHall",71
"35","42101000401","CityHall",14
"36","42101016200","CityHall",35
"37","42091208904","CityHall",152
"38","42101012502","CityHall",26
"39","42101013701","CityHall",53
"40","42091203701","CityHall",150
"41","42045980100","CityHall",78
"42","42029980000","CityHall",132
"43","42029302806","CityHall",105
"44","42045406401","CityHall",146
"45","42017100807","CityHall",149
"46","42091206006","CityHall",167
"47","42029301100","CityHall",153
"48","42029300700","CityHall",153
"49","42091205906","CityHall",108
"50","42091203801","CityHall",135
"51","42091204300","CityHall",57
"52","42091205502","CityHall",78
"53","42091205501","CityHall",78
"54","42091201704","CityHall",170
"55","42091206104","CityHall",153
"56","42091203901","CityHall",89
"57","42091203804","CityHall",138
"58","42045400302","CityHall",66
"59","42045403800","CityHall",108
"60","42045400301","CityHall",54
"61","42045409000","CityHall",84
"62","42045403200","CityHall",85
"63","42045409200","CityHall",84
"64","42045408900","CityHall",60
"65","42045400801","CityHall",76
"66","42045401700","CityHall",67
"67","42045404900","CityHall",103
"68","42101030900","CityHall",53
"69","42101031502","CityHall",76
"70","42101032000","CityHall",70
"71","42101032900","CityHall",81
"72","42101033702","CityHall",81
"73","42101036501","CityHall",92
"74","42101001201","CityHall",37
"75","42101002100","CityHall",29
"76","42101002801","CityHall",24
"77","42101003701","CityHall",35
"78","42101035301","CityHall",95
"79","42101006400","CityHall",62
"80","42101006700","CityHall",42
"81","42101007300","CityHall",50
"82","42101008200","CityHall",45
"83","42101008602","CityHall",39
"84","42101009600","CityHall",45
"85","42101013500","CityHall",32
"86","42101014700","CityHall",30
"87","42101037700","CityHall",40
"88","42101016901","CityHall",52
"89","42101019501","CityHall",47
"90","42101020400","CityHall",43
"91","42101021300","CityHall",51
"92","42101038700","CityHall",92
"93","42101023900","CityHall",69
"94","42101024800","CityHall",41
"95","42101025700","CityHall",79
"96","42101026302","CityHall",60
"97","42101026700","CityHall",50
"98","42101027600","CityHall",37
"99","42101028100","CityHall",48
"100","42101029800","CityHall",67
"101","42091203204","CityHall",119
"102","42091202401","CityHall",81
"103","42101000803","CityHall",21
"104","42101980800","CityHall",75
"105","42101010600","CityHall",39
"106","42101014500","CityHall",25
"107","42101028500","CityHall",48
"108","42101013601","CityHall",37
"109","42045400900","CityHall",68
"110","42101016002","CityHall",47
"111","42101036901","CityHall",33
"112","42101013702","CityHall",39
"113","42101000101","CityHall",22
"114","42101000404","CityHall",15
"115","42101000805","CityHall",27
"116","42091201706","CityHall",83
"117","42091206202","CityHall",153
"118","42017101605","CityHall",146
"119","42029300303","CityHall",114
"120","42091205401","CityHall",82
"121","42045401503","CityHall",75
"122","42101014800","CityHall",31
"123","42101011300","CityHall",44
"124","42101013401","CityHall",29
"125","42101016702","CityHall",37
"126","42101021200","CityHall",64
"127","42101025900","CityHall",51
"128","42101028800","CityHall",51
"129","42101031800","CityHall",65
"130","42045403101","CityHall",84
"131","42045405400","CityHall",126
"132","42045407700","CityHall",138
"133","42101003100","CityHall",32
"134","42101007200","CityHall",53
"135","42101025600","CityHall",75
"136","42101027000","CityHall",50
"137","42101027700","CityHall",50
"138","42101030100","CityHall",59
"139","42101037300","CityHall",79
"140","42101024100","CityHall",40
"141","42045404400","CityHall",95
"142","42045402000","CityHall",76
"143","42101000300","CityHall",21
"144","42101009802","CityHall",56
"145","42101016300","CityHall",45
"146","42029304101","CityHall",165
"147","42091201705","CityHall",78
"148","42017101401","CityHall",113
"149","42091204103","CityHall",108
"150","42101000102","CityHall",42
"151","42101038301","CityHall",53
"152","42101001203","CityHall",29
"153","42101001002","CityHall",26
"154","42101023500","CityHall",71
"155","42101003702","CityHall",32
"156","42101006600","CityHall",38
"157","42101008801","CityHall",31
"158","42101013100","CityHall",32
"159","42101020300","CityHall",32
"160","42101034100","CityHall",71
"161","42101017602","CityHall",51
"162","42091202402","CityHall",67
"163","42091203104","CityHall",113
"164","42101015600","CityHall",37
"165","42101031900","CityHall",75
"166","42101000901","CityHall",18
"167","42101003901","CityHall",30
"168","42101008702","CityHall",33
"169","42101020000","CityHall",37
"170","42101025400","CityHall",65
"171","42101018802","CityHall",47
"172","42045403702","CityHall",79
"173","42045402400","CityHall",72
"174","42091203602","CityHall",118
"175","42091204007","CityHall",106
"176","42101000702","CityHall",23
"177","42029300103","CityHall",150
"178","42045400802","CityHall",72
"179","42101001001","CityHall",34
"180","42101021900","CityHall",87
"181","42045403001","CityHall",92
"182","42045405100","CityHall",126
"183","42045402200","CityHall",93
"184","42045402600","CityHall",72
"185","42101001101","CityHall",24
"186","42101036502","CityHall",125
"187","42101007900","CityHall",40
"188","42101012000","CityHall",64
"189","42101021700","CityHall",83
