"","from_id","to_id","travel_time_p50"
"1","42017100206","CityHall",133
"2","42029300800","CityHall",153
"3","42091205700","CityHall",102
"4","42091203601","CityHall",87
"5","42091202602","CityHall",106
"6","42091201100","CityHall",150
"7","42091204101","CityHall",105
"8","42045402900","CityHall",120
"9","42045403104","CityHall",91
"10","42045400700","CityHall",72
"11","42101001500","CityHall",26
"12","42101001800","CityHall",37
"13","42101002802","CityHall",22
"14","42101004001","CityHall",21
"15","42101006300","CityHall",46
"16","42101007700","CityHall",24
"17","42101008701","CityHall",37
"18","42101011000","CityHall",36
"19","42101011500","CityHall",51
"20","42101014000","CityHall",29
"21","42101016500","CityHall",34
"22","42101017202","CityHall",46
"23","42101019502","CityHall",46
"24","42101021400","CityHall",71
"25","42101024200","CityHall",42
"26","42101025500","CityHall",57
"27","42101027402","CityHall",52
"28","42101028600","CityHall",55
"29","42101030501","CityHall",52
"30","42101033500","CityHall",69
"31","42101034000","CityHall",69
"32","42101034900","CityHall",83
"33","42101035900","CityHall",110
"34","42101012201","CityHall",61
"35","42101000401","CityHall",13
"36","42101016200","CityHall",35
"37","42091208904","CityHall",152
"38","42101012502","CityHall",25
"39","42101013701","CityHall",53
"40","42091203701","CityHall",150
"41","42045980100","CityHall",78
"42","42029980000","CityHall",132
"43","42029302806","CityHall",105
"44","42045406401","CityHall",144
"45","42017100807","CityHall",148
"46","42091206006","CityHall",167
"47","42029301100","CityHall",153
"48","42029300700","CityHall",153
"49","42091205906","CityHall",105
"50","42091203801","CityHall",117
"51","42091204300","CityHall",57
"52","42091205502","CityHall",78
"53","42091205501","CityHall",78
"54","42091201704","CityHall",170
"55","42091206104","CityHall",152
"56","42091203901","CityHall",89
"57","42091203804","CityHall",137
"58","42045400302","CityHall",66
"59","42045403800","CityHall",108
"60","42045400301","CityHall",47
"61","42045409000","CityHall",84
"62","42045403200","CityHall",82
"63","42045409200","CityHall",84
"64","42045408900","CityHall",60
"65","42045400801","CityHall",72
"66","42045401700","CityHall",65
"67","42045404900","CityHall",103
"68","42101030900","CityHall",52
"69","42101031502","CityHall",75
"70","42101032000","CityHall",65
"71","42101032900","CityHall",79
"72","42101033702","CityHall",77
"73","42101036501","CityHall",87
"74","42101001201","CityHall",36
"75","42101002100","CityHall",27
"76","42101002801","CityHall",22
"77","42101003701","CityHall",34
"78","42101035301","CityHall",92
"79","42101006400","CityHall",60
"80","42101006700","CityHall",41
"81","42101007300","CityHall",49
"82","42101008200","CityHall",41
"83","42101008602","CityHall",38
"84","42101009600","CityHall",45
"85","42101013500","CityHall",29
"86","42101014700","CityHall",28
"87","42101037700","CityHall",38
"88","42101016901","CityHall",48
"89","42101019501","CityHall",43
"90","42101020400","CityHall",40
"91","42101021300","CityHall",49
"92","42101038700","CityHall",89
"93","42101023900","CityHall",66
"94","42101024800","CityHall",37
"95","42101025700","CityHall",78
"96","42101026302","CityHall",50
"97","42101026700","CityHall",48
"98","42101027600","CityHall",35
"99","42101028100","CityHall",46
"100","42101029800","CityHall",64
"101","42091203204","CityHall",119
"102","42091202401","CityHall",81
"103","42101000803","CityHall",20
"104","42101980800","CityHall",75
"105","42101010600","CityHall",37
"106","42101014500","CityHall",25
"107","42101028500","CityHall",46
"108","42101013601","CityHall",35
"109","42045400900","CityHall",68
"110","42101016002","CityHall",43
"111","42101036901","CityHall",33
"112","42101013702","CityHall",33
"113","42101000101","CityHall",21
"114","42101000404","CityHall",14
"115","42101000805","CityHall",26
"116","42091201706","CityHall",83
"117","42091206202","CityHall",153
"118","42017101605","CityHall",140
"119","42029300303","CityHall",114
"120","42091205401","CityHall",82
"121","42045401503","CityHall",75
"122","42101014800","CityHall",29
"123","42101011300","CityHall",39
"124","42101013401","CityHall",29
"125","42101016702","CityHall",34
"126","42101021200","CityHall",61
"127","42101025900","CityHall",51
"128","42101028800","CityHall",47
"129","42101031800","CityHall",65
"130","42045403101","CityHall",81
"131","42045406500","CityHall",165
"132","42045405400","CityHall",121
"133","42045407700","CityHall",126
"134","42101003100","CityHall",31
"135","42101007200","CityHall",53
"136","42101025600","CityHall",75
"137","42101027000","CityHall",50
"138","42101027700","CityHall",49
"139","42101030100","CityHall",55
"140","42101037300","CityHall",76
"141","42101024100","CityHall",38
"142","42045404400","CityHall",93
"143","42045402000","CityHall",72
"144","42101000300","CityHall",20
"145","42101009802","CityHall",56
"146","42101016300","CityHall",45
"147","42029304101","CityHall",164
"148","42091201705","CityHall",78
"149","42017101401","CityHall",105
"150","42091204103","CityHall",105
"151","42101000102","CityHall",41
