"","from_id","to_id","travel_time_p50"
"1","42017100206","CityHall",140
"2","42029300800","CityHall",156
"3","42091205700","CityHall",102
"4","42091203601","CityHall",118
"5","42091202602","CityHall",113
"6","42091201100","CityHall",153
"7","42091204101","CityHall",105
"8","42045402900","CityHall",138
"9","42045403104","CityHall",93
"10","42045400700","CityHall",73
"11","42101001500","CityHall",30
"12","42101001800","CityHall",39
"13","42101002802","CityHall",30
"14","42101004001","CityHall",23
"15","42101006300","CityHall",48
"16","42101007700","CityHall",25
"17","42101008701","CityHall",42
"18","42101011000","CityHall",40
"19","42101011500","CityHall",57
"20","42101014000","CityHall",33
"21","42101016500","CityHall",40
"22","42101017202","CityHall",52
"23","42101019502","CityHall",50
"24","42101021400","CityHall",89
"25","42101024200","CityHall",42
"26","42101025500","CityHall",66
"27","42101027402","CityHall",60
"28","42101028600","CityHall",57
"29","42101030501","CityHall",65
"30","42101033500","CityHall",73
"31","42101034000","CityHall",81
"32","42101034900","CityHall",89
"33","42101035900","CityHall",110
"34","42101012201","CityHall",63
"35","42101000401","CityHall",13
"36","42101016200","CityHall",38
"37","42091208904","CityHall",155
"38","42101012502","CityHall",27
"39","42101013701","CityHall",57
"40","42091203701","CityHall",153
"41","42045980100","CityHall",81
"42","42029980000","CityHall",137
"43","42029302806","CityHall",108
"44","42045406401","CityHall",145
"45","42017100807","CityHall",148
"46","42091206006","CityHall",169
"47","42029301100","CityHall",156
"48","42029300700","CityHall",156
"49","42091205906","CityHall",105
"50","42091203801","CityHall",118
"51","42091204300","CityHall",68
"52","42091205501","CityHall",90
"53","42091201704","CityHall",176
"54","42091206104","CityHall",176
"55","42091203901","CityHall",99
"56","42091203804","CityHall",137
"57","42045400302","CityHall",68
"58","42045403800","CityHall",110
"59","42045400301","CityHall",54
"60","42045403200","CityHall",89
"61","42045408900","CityHall",65
"62","42045400801","CityHall",73
"63","42045401700","CityHall",67
"64","42045404900","CityHall",107
"65","42101030900","CityHall",65
"66","42101031502","CityHall",77
"67","42101032000","CityHall",71
"68","42101032900","CityHall",90
"69","42101036501","CityHall",92
"70","42101001201","CityHall",41
"71","42101002100","CityHall",30
"72","42101002801","CityHall",30
"73","42101003701","CityHall",39
"74","42101035301","CityHall",95
"75","42101006400","CityHall",65
"76","42101006700","CityHall",42
"77","42101007300","CityHall",51
"78","42101008200","CityHall",51
"79","42101008602","CityHall",39
"80","42101009600","CityHall",50
"81","42101013500","CityHall",32
"82","42101014700","CityHall",31
"83","42101037700","CityHall",46
"84","42101016901","CityHall",49
"85","42101019501","CityHall",47
"86","42101020400","CityHall",41
"87","42101021300","CityHall",58
"88","42101038700","CityHall",97
"89","42101023900","CityHall",67
"90","42101024800","CityHall",43
"91","42101025700","CityHall",81
"92","42101026302","CityHall",57
"93","42101026700","CityHall",52
"94","42101027600","CityHall",38
"95","42101028100","CityHall",46
